artifact_penalty,clean_quality_score,contrast,edit_strength_score,excessive_drift_penalty,face_detected_edited,face_detected_original,filter_reasons,filter_status,guidance_scale,identity_distance_sface_if_available,identity_similarity_sface_if_available,image_guidance_scale,l2,max_abs,mean_abs,mean_brightness,near_black_fraction,near_white_fraction,num_inference_steps,path_config,path_edited,path_original,prompt,prompt_group,prompt_slug,psnr,seed,ssim
0.0,1.75,0.156026691198349,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.21415241156132483,0.9607843160629272,0.15007992088794708,0.3636877238750458,0.002685546875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p0_gs_7p5/original.png,add a red beanie,primary,add_a_red_beanie,13.38554061335859,1234,0.5772600769996643
0.0,1.75,0.16486531496047974,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.5,0.1792602435155183,0.9490196108818054,0.11028914898633957,0.3690621852874756,0.002239227294921875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_beanie/igs_1p5_gs_7p5/original.png,add a red beanie,primary,add_a_red_beanie,14.930320358932029,1234,0.6497121453285217
0.0,1.75,0.2806127965450287,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.23900886351567804,0.9411764740943909,0.17042870819568634,0.3768119215965271,0.23993301391601562,0.0,20,phase1/outputs/prompt_discovery/all_runs/change_hair_color_to_black/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/change_hair_color_to_black/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/change_hair_color_to_black/igs_1p0_gs_7p5/original.png,change hair color to black,primary,change_hair_color_to_black,12.431719863499813,1234,0.594377338886261
0.0,1.404018846425143,0.3151949644088745,1.0,0.34598115357485687,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.37682490564685656,0.9450980424880981,0.3220115303993225,0.26551365852355957,0.3173561096191406,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_1p0_gs_7p5/original.png,add a black jacket,primary,add_a_black_jacket,8.477208018456654,1234,0.35971036553382874
0.0,1.4353903965516523,0.31514453887939453,1.0,0.31460960344834765,False,True,edited_face_not_detected,rejected,7.5,,,1.5,0.36667709182238295,0.9450980424880981,0.3129681944847107,0.26936519145965576,0.3192558288574219,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_1p5_gs_7p5/original.png,add a black jacket,primary,add_a_black_jacket,8.714324435415818,1234,0.3769647181034088
0.0,1.5663033290342852,0.2946101725101471,1.0,0.18369667096571496,False,True,edited_face_not_detected,rejected,7.5,,,2.0,0.31074271834428235,0.9098039269447327,0.23941947519779205,0.29446059465408325,0.27312469482421875,3.0517578125e-05,20,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_black_jacket/igs_2p0_gs_7p5/original.png,add a black jacket,primary,add_a_black_jacket,10.151980788397257,1234,0.4489668309688568
0.0,1.75,0.18113382160663605,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.22835459292739504,0.9921568632125854,0.15521971881389618,0.38501256704330444,0.02587890625,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_scarf/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_scarf/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_scarf/igs_1p0_gs_7p5/original.png,add a red scarf,primary,add_a_red_scarf,12.827804978887487,1234,0.5923524498939514
0.0,1.75,0.1849002242088318,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.5,0.1881906881217542,0.9529411792755127,0.11570052057504654,0.37643080949783325,0.02336883544921875,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_red_scarf/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_red_scarf/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_red_scarf/igs_1p5_gs_7p5/original.png,add a red scarf,primary,add_a_red_scarf,14.508037394731009,1234,0.6606354117393494
0.0,1.6741501851515337,0.27086254954338074,1.0,0.07584981484846642,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.29306947883843504,1.0,0.2516081631183624,0.34006834030151367,0.03733062744140625,0.025745391845703125,20,phase1/outputs/prompt_discovery/all_runs/make_the_photo_look_like_studio_lighting/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/make_the_photo_look_like_studio_lighting/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/make_the_photo_look_like_studio_lighting/igs_1p0_gs_7p5/original.png,make the photo look like studio lighting,primary,make_the_photo_look_like_studio_lighting,10.660588159531683,1234,0.5082826018333435
0.0,1.75,0.18009544909000397,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.0,0.30250591148164746,0.8784313797950745,0.2426857203245163,0.5951641201972961,0.0,0.0,20,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_1p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_1p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_1p0_gs_7p5/original.png,add a subtle necklace,primary,add_a_subtle_necklace,10.385322681468312,1234,0.5930398106575012
0.0,1.75,0.1760779619216919,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,1.5,0.27989275928612706,0.9333333373069763,0.22154559195041656,0.571257472038269,0.0,3.814697265625e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_1p5_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_1p5_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_1p5_gs_7p5/original.png,add a subtle necklace,primary,add_a_subtle_necklace,11.0601667282655,1234,0.5994055271148682
0.0,1.75,0.16281826794147491,1.0,0.0,False,True,edited_face_not_detected,rejected,7.5,,,2.0,0.2446585768563293,0.9725490212440491,0.19099684059619904,0.5424817800521851,1.1444091796875e-05,3.814697265625e-06,20,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_2p0_gs_7p5/config.json,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_2p0_gs_7p5/edited.png,phase1/outputs/prompt_discovery/all_runs/add_a_subtle_necklace/igs_2p0_gs_7p5/original.png,add a subtle necklace,primary,add_a_subtle_necklace,12.22879109645939,1234,0.6189990639686584
